Status_of_Existing_Checking_Account,Duration_in_Month,Credit_History,Purpose,Credit_Amount,Savings_Account_bonds,Employment_Since,Installment_rate_in_percentage_of_disposable_income,Personal_Status_and_sex,other_debtors,Years_at_residence,Property,Age,Other_installment_plans,Housing,Number_of_Existing_credits,Job,Number_of_people_being_liable,telephone,foreign_worker,credit_risk
0-200 DM,18,existing credits paid,new car,5866,100-500 DM,1-4 years,2,male:single,none,2,car or other,30,none,own,2,skilled employee,1,yes,Yes,Low
No checking account,12,critical account,business,1264,no savings,>7 years,4,male:single,none,4,unknown/no property,57,none,rent,1,unskilled/resident,1,None,Yes,Low
>200 DM,12,existing credits paid,furniture/equipment,1474,< 100 DM,<1 year,4,female:divorced/separated/married,none,1,building society savings agreement/ life insurance,33,bank,own,1,management/self employed,1,yes,Yes,Low
0-200 DM,45,critical account,radio/television,4746,< 100 DM,<1 year,4,male:single,none,2,building society savings agreement/ life insurance,25,none,own,2,unskilled/resident,1,None,Yes,High
No checking account,48,critical account,education,6110,< 100 DM,1-4 years,1,male:single,none,3,unknown/no property,31,bank,free,1,skilled employee,1,yes,Yes,Low
>200 DM,18,existing credits paid,radio/television,2100,< 100 DM,1-4 years,4,male:single,co-applicant,2,real estate,37,stores,own,1,skilled employee,1,None,Yes,High
>200 DM,10,existing credits paid,domestic appliances,1225,< 100 DM,1-4 years,2,male:single,none,2,car or other,37,none,own,1,skilled employee,1,yes,Yes,Low
0-200 DM,9,existing credits paid,radio/television,458,< 100 DM,1-4 years,4,male:single,none,3,real estate,24,none,own,1,skilled employee,1,None,Yes,Low
No checking account,30,existing credits paid,radio/television,2333,500-1000 DM,>7 years,4,male:single,none,2,car or other,30,bank,own,1,management/self employed,1,None,Yes,Low
0-200 DM,12,existing credits paid,radio/television,1158,500-1000 DM,1-4 years,3,male:divorced/separated,none,1,car or other,26,none,own,1,skilled employee,1,yes,Yes,Low
0-200 DM,18,historical delay in payment,repairs,6204,< 100 DM,1-4 years,2,male:single,none,4,real estate,44,none,own,1,unskilled/resident,2,yes,Yes,Low
0 DM,30,critical account,used car,6187,100-500 DM,4-7 years,1,male:married,none,4,car or other,24,none,rent,2,skilled employee,1,None,Yes,Low
0 DM,48,critical account,used car,6143,< 100 DM,>7 years,4,female:divorced/separated/married,none,4,unknown/no property,58,stores,free,2,unskilled/resident,1,None,Yes,High
No checking account,11,critical account,new car,1393,< 100 DM,<1 year,4,female:divorced/separated/married,none,4,car or other,35,none,own,2,management/self employed,1,None,Yes,Low
No checking account,36,existing credits paid,radio/television,2299,500-1000 DM,>7 years,4,male:single,none,4,car or other,39,none,own,1,skilled employee,1,None,Yes,Low
0 DM,6,existing credits paid,used car,1352,500-1000 DM,unemployed,1,female:divorced/separated/married,none,2,building society savings agreement/ life insurance,23,none,rent,1,Unemployed,1,yes,Yes,Low
No checking account,11,critical account,new car,7228,< 100 DM,1-4 years,1,male:single,none,4,building society savings agreement/ life insurance,39,none,own,2,unskilled/resident,1,None,Yes,Low
No checking account,12,existing credits paid,radio/television,2073,100-500 DM,1-4 years,4,female:divorced/separated/married,co-applicant,2,real estate,28,none,own,1,skilled employee,1,None,Yes,Low
0-200 DM,24,historical delay in payment,furniture/equipment,2333,no savings,<1 year,4,male:single,none,2,building society savings agreement/ life insurance,29,bank,own,1,unskilled/resident,1,None,Yes,Low
0-200 DM,27,historical delay in payment,used car,5965,< 100 DM,>7 years,1,male:single,none,2,car or other,30,none,own,2,management/self employed,1,yes,Yes,Low
No checking account,12,existing credits paid,radio/television,1262,< 100 DM,1-4 years,3,male:single,none,2,car or other,25,none,own,1,skilled employee,1,None,Yes,Low
No checking account,18,existing credits paid,used car,3378,no savings,1-4 years,2,male:single,none,1,building society savings agreement/ life insurance,31,none,own,1,skilled employee,1,yes,Yes,Low
0-200 DM,36,historical delay in payment,new car,2225,< 100 DM,>7 years,4,male:single,none,4,unknown/no property,57,bank,free,2,skilled employee,1,yes,Yes,High
No checking account,6,all credits at this bank paid back,new car,783,no savings,1-4 years,1,male:single,guarantor,2,real estate,26,stores,own,1,unskilled/resident,2,None,Yes,Low
0-200 DM,12,existing credits paid,radio/television,6468,no savings,unemployed,2,male:single,none,1,unknown/no property,52,none,own,1,management/self employed,1,yes,Yes,High
No checking account,36,critical account,radio/television,9566,< 100 DM,1-4 years,2,female:divorced/separated/married,none,2,car or other,31,stores,own,2,skilled employee,1,None,Yes,Low
>200 DM,18,existing credits paid,new car,1961,< 100 DM,>7 years,3,female:divorced/separated/married,none,2,car or other,23,none,own,1,management/self employed,1,None,Yes,Low
0 DM,36,critical account,furniture/equipment,6229,< 100 DM,<1 year,4,female:divorced/separated/married,co-applicant,4,unknown/no property,23,none,rent,2,unskilled/resident,1,yes,Yes,High
0-200 DM,9,existing credits paid,business,1391,< 100 DM,1-4 years,2,male:married,none,1,real estate,27,bank,own,1,skilled employee,1,yes,Yes,Low
0-200 DM,15,critical account,radio/television,1537,no savings,>7 years,4,male:single,guarantor,4,real estate,50,none,own,2,skilled employee,1,yes,Yes,Low
0-200 DM,36,none/all paid back,business,1953,< 100 DM,>7 years,4,male:single,none,4,unknown/no property,61,none,free,1,management/self employed,1,yes,Yes,High
0-200 DM,48,none/all paid back,business,14421,< 100 DM,1-4 years,2,male:single,none,2,car or other,25,none,own,1,skilled employee,1,yes,Yes,High
No checking account,24,existing credits paid,radio/television,3181,< 100 DM,<1 year,4,female:divorced/separated/married,none,4,building society savings agreement/ life insurance,26,none,own,1,skilled employee,1,yes,Yes,Low
No checking account,27,existing credits paid,repairs,5190,no savings,>7 years,4,male:single,none,4,building society savings agreement/ life insurance,48,none,own,4,skilled employee,2,yes,Yes,Low
No checking account,12,existing credits paid,radio/television,2171,< 100 DM,<1 year,2,female:divorced/separated/married,none,2,car or other,29,bank,own,1,skilled employee,1,None,Yes,Low
0-200 DM,12,existing credits paid,new car,1007,>1000 DM,1-4 years,4,male:married,none,1,real estate,22,none,own,1,skilled employee,1,None,Yes,Low
No checking account,36,existing credits paid,education,1819,< 100 DM,1-4 years,4,male:single,none,4,unknown/no property,37,stores,free,1,skilled employee,1,yes,Yes,High
No checking account,36,existing credits paid,radio/television,2394,no savings,1-4 years,4,female:divorced/separated/married,none,4,car or other,25,none,own,1,skilled employee,1,None,Yes,Low
No checking account,36,existing credits paid,used car,8133,< 100 DM,1-4 years,1,female:divorced/separated/married,none,2,building society savings agreement/ life insurance,30,bank,own,1,skilled employee,1,None,Yes,Low
No checking account,7,critical account,radio/television,730,no savings,>7 years,4,male:single,none,2,building society savings agreement/ life insurance,46,none,rent,2,unskilled/resident,1,yes,Yes,Low
0 DM,8,critical account,used car0,1164,< 100 DM,>7 years,3,male:single,none,4,unknown/no property,51,bank,free,2,management/self employed,2,yes,Yes,Low
0-200 DM,42,critical account,business,5954,< 100 DM,4-7 years,2,female:divorced/separated/married,none,1,real estate,41,bank,own,2,unskilled/resident,1,None,Yes,Low
0 DM,36,existing credits paid,education,1977,no savings,>7 years,4,male:single,none,4,unknown/no property,40,none,own,1,management/self employed,1,yes,Yes,High
0 DM,12,critical account,used car,1526,< 100 DM,>7 years,4,male:single,none,4,unknown/no property,66,none,free,2,management/self employed,1,None,Yes,Low
0 DM,42,existing credits paid,radio/television,3965,< 100 DM,<1 year,4,male:single,none,3,car or other,34,none,own,1,skilled employee,1,None,Yes,High
0-200 DM,11,historical delay in payment,radio/television,4771,< 100 DM,4-7 years,2,male:single,none,4,building society savings agreement/ life insurance,51,none,own,1,skilled employee,1,None,Yes,Low
No checking account,54,none/all paid back,used car,9436,no savings,1-4 years,2,male:single,none,2,building society savings agreement/ life insurance,39,none,own,1,unskilled/resident,2,None,Yes,Low
0-200 DM,30,existing credits paid,furniture/equipment,3832,< 100 DM,<1 year,2,male:married,none,1,building society savings agreement/ life insurance,22,none,own,1,skilled employee,1,None,Yes,Low
No checking account,24,existing credits paid,radio/television,5943,no savings,<1 year,1,female:divorced/separated/married,none,1,car or other,44,none,own,2,skilled employee,1,yes,Yes,High
No checking account,15,existing credits paid,radio/television,1213,500-1000 DM,>7 years,4,male:single,none,3,building society savings agreement/ life insurance,47,stores,own,1,skilled employee,1,yes,Yes,Low
No checking account,18,existing credits paid,business,1568,100-500 DM,1-4 years,3,female:divorced/separated/married,none,4,building society savings agreement/ life insurance,24,none,rent,1,unskilled/resident,1,None,Yes,Low
0 DM,24,existing credits paid,used car0,1755,< 100 DM,>7 years,4,female:divorced/separated/married,guarantor,4,real estate,58,none,own,1,unskilled/resident,1,yes,Yes,Low
0 DM,10,existing credits paid,radio/television,2315,< 100 DM,>7 years,3,male:single,none,4,real estate,52,none,own,1,unskilled/resident,1,None,Yes,Low
No checking account,12,critical account,business,1412,< 100 DM,1-4 years,4,female:divorced/separated/married,guarantor,2,real estate,29,none,own,2,management/self employed,1,yes,Yes,Low
0-200 DM,18,critical account,furniture/equipment,1295,< 100 DM,<1 year,4,female:divorced/separated/married,none,1,building society savings agreement/ life insurance,27,none,own,2,skilled employee,1,None,Yes,Low
0-200 DM,36,existing credits paid,education,12612,100-500 DM,1-4 years,1,male:single,none,4,unknown/no property,47,none,free,1,skilled employee,2,yes,Yes,High
0 DM,18,existing credits paid,new car,2249,100-500 DM,4-7 years,4,male:single,none,3,car or other,30,none,own,1,management/self employed,2,yes,Yes,Low
0 DM,12,none/all paid back,repairs,1108,< 100 DM,4-7 years,4,male:single,none,3,real estate,28,none,own,2,skilled employee,1,None,Yes,High
No checking account,12,critical account,radio/television,618,< 100 DM,>7 years,4,male:single,none,4,real estate,56,none,own,1,skilled employee,1,None,Yes,Low
0 DM,12,critical account,used car,1409,< 100 DM,>7 years,4,male:single,none,3,real estate,54,none,own,1,skilled employee,1,None,Yes,Low
No checking account,12,critical account,radio/television,797,no savings,>7 years,4,female:divorced/separated/married,none,3,building society savings agreement/ life insurance,33,bank,own,1,unskilled/resident,2,None,Yes,High
>200 DM,24,critical account,furniture/equipment,3617,no savings,>7 years,4,male:single,co-applicant,4,unknown/no property,20,none,rent,2,skilled employee,1,None,Yes,Low
0-200 DM,12,existing credits paid,new car,1318,>1000 DM,>7 years,4,male:single,none,4,real estate,54,none,own,1,skilled employee,1,yes,Yes,Low
0-200 DM,54,none/all paid back,business,15945,< 100 DM,<1 year,3,male:single,none,4,unknown/no property,58,none,rent,1,skilled employee,1,yes,Yes,High
No checking account,12,critical account,education,2012,no savings,4-7 years,4,female:divorced/separated/married,none,2,car or other,61,none,own,1,skilled employee,1,None,Yes,Low
0-200 DM,18,existing credits paid,business,2622,100-500 DM,1-4 years,4,male:single,none,4,car or other,34,none,own,1,skilled employee,1,None,Yes,Low
0-200 DM,36,critical account,radio/television,2337,< 100 DM,>7 years,4,male:single,none,4,real estate,36,none,own,1,skilled employee,1,None,Yes,Low
0-200 DM,20,historical delay in payment,used car,7057,no savings,4-7 years,3,male:single,none,4,building society savings agreement/ life insurance,36,bank,rent,2,management/self employed,2,yes,Yes,Low
No checking account,24,existing credits paid,new car,1469,100-500 DM,>7 years,4,male:married,none,4,real estate,41,none,rent,1,unskilled/resident,1,None,Yes,Low
0-200 DM,36,existing credits paid,radio/television,2323,< 100 DM,4-7 years,4,male:single,none,4,car or other,24,none,rent,1,skilled employee,1,None,Yes,Low
No checking account,6,historical delay in payment,radio/television,932,< 100 DM,1-4 years,3,female:divorced/separated/married,none,2,real estate,24,none,own,1,skilled employee,1,None,Yes,Low
0-200 DM,9,critical account,furniture/equipment,1919,< 100 DM,4-7 years,4,male:single,none,3,car or other,35,none,rent,1,skilled employee,1,yes,Yes,Low
No checking account,12,existing credits paid,used car,2445,no savings,<1 year,2,male:married,none,4,car or other,26,none,rent,1,skilled employee,1,yes,Yes,Low
0-200 DM,24,critical account,used car0,11938,< 100 DM,1-4 years,2,male:single,co-applicant,3,car or other,39,none,own,2,management/self employed,2,yes,Yes,High
No checking account,18,all credits at this bank paid back,new car,6458,< 100 DM,>7 years,2,male:single,none,4,unknown/no property,39,bank,own,2,management/self employed,2,yes,Yes,High
0-200 DM,12,existing credits paid,new car,6078,< 100 DM,4-7 years,2,male:single,none,2,car or other,32,none,own,1,skilled employee,1,None,Yes,Low
0 DM,24,existing credits paid,furniture/equipment,7721,no savings,<1 year,1,female:divorced/separated/married,none,2,building society savings agreement/ life insurance,30,none,own,1,skilled employee,1,yes,No,Low
0-200 DM,14,existing credits paid,business,1410,500-1000 DM,>7 years,1,male:married,none,2,real estate,35,none,own,1,skilled employee,1,yes,Yes,Low
0-200 DM,6,historical delay in payment,business,1449,100-500 DM,>7 years,1,male:divorced/separated,none,2,car or other,31,bank,own,2,skilled employee,2,None,Yes,Low
>200 DM,15,existing credits paid,education,392,< 100 DM,<1 year,4,female:divorced/separated/married,none,4,building society savings agreement/ life insurance,23,none,rent,1,skilled employee,1,yes,Yes,Low
0-200 DM,18,existing credits paid,new car,6260,< 100 DM,4-7 years,3,male:single,none,3,real estate,28,none,rent,1,unskilled/resident,1,None,Yes,Low
No checking account,36,critical account,new car,7855,< 100 DM,1-4 years,4,female:divorced/separated/married,none,2,real estate,25,stores,own,2,skilled employee,1,yes,Yes,High
0 DM,12,existing credits paid,radio/television,1680,500-1000 DM,>7 years,3,male:married,none,1,real estate,35,none,own,1,skilled employee,1,None,Yes,Low
No checking account,48,critical account,radio/television,3578,no savings,>7 years,4,male:single,none,1,real estate,47,none,own,1,skilled employee,1,yes,Yes,Low
0 DM,42,existing credits paid,radio/television,7174,no savings,4-7 years,4,female:divorced/separated/married,none,3,car or other,30,none,own,1,management/self employed,1,yes,Yes,High
0 DM,10,critical account,furniture/equipment,2132,no savings,<1 year,2,female:divorced/separated/married,co-applicant,3,real estate,27,none,rent,2,skilled employee,1,None,No,Low
0 DM,33,critical account,furniture/equipment,4281,500-1000 DM,1-4 years,1,female:divorced/separated/married,none,4,car or other,23,none,own,2,skilled employee,1,None,Yes,High
0-200 DM,12,critical account,new car,2366,500-1000 DM,4-7 years,3,male:divorced/separated,none,3,car or other,36,none,own,1,management/self employed,1,yes,Yes,Low
0 DM,21,existing credits paid,radio/television,1835,< 100 DM,1-4 years,3,female:divorced/separated/married,none,2,real estate,25,none,own,2,skilled employee,1,yes,Yes,High
No checking account,24,critical account,used car,3868,< 100 DM,>7 years,4,female:divorced/separated/married,none,2,car or other,41,none,rent,2,management/self employed,1,yes,Yes,Low
No checking account,12,existing credits paid,furniture/equipment,1768,< 100 DM,1-4 years,3,male:single,none,2,real estate,24,none,rent,1,unskilled/resident,1,None,Yes,Low
>200 DM,10,critical account,new car,781,< 100 DM,>7 years,4,male:single,none,4,unknown/no property,63,none,free,2,skilled employee,1,yes,Yes,Low
0-200 DM,18,existing credits paid,furniture/equipment,1924,no savings,<1 year,4,female:divorced/separated/married,none,3,real estate,27,none,rent,1,skilled employee,1,None,Yes,High
0 DM,12,critical account,new car,2121,< 100 DM,1-4 years,4,male:single,none,2,building society savings agreement/ life insurance,30,none,own,2,skilled employee,1,None,Yes,Low
0 DM,12,existing credits paid,radio/television,701,< 100 DM,1-4 years,4,male:married,none,2,real estate,40,none,own,1,unskilled/resident,1,None,Yes,Low
0-200 DM,12,existing credits paid,repairs,639,< 100 DM,1-4 years,4,male:single,none,2,car or other,30,none,own,1,skilled employee,1,None,Yes,High
0-200 DM,12,critical account,used car,1860,< 100 DM,unemployed,4,male:single,none,2,car or other,34,none,own,2,management/self employed,1,yes,Yes,Low
0 DM,12,critical account,new car,3499,< 100 DM,1-4 years,3,female:divorced/separated/married,co-applicant,2,real estate,29,none,own,2,skilled employee,1,None,Yes,High
0-200 DM,48,existing credits paid,new car,8487,no savings,4-7 years,1,female:divorced/separated/married,none,2,car or other,24,none,own,1,skilled employee,1,None,Yes,Low
0 DM,36,historical delay in payment,education,6887,< 100 DM,1-4 years,4,male:single,none,3,building society savings agreement/ life insurance,29,stores,own,1,skilled employee,1,yes,Yes,High
No checking account,15,existing credits paid,furniture/equipment,2708,< 100 DM,<1 year,2,male:single,none,3,building society savings agreement/ life insurance,27,bank,own,2,unskilled/resident,1,None,Yes,Low
No checking account,18,existing credits paid,furniture/equipment,1984,< 100 DM,1-4 years,4,male:single,none,4,unknown/no property,47,bank,free,2,skilled employee,1,None,Yes,Low
No checking account,60,existing credits paid,radio/television,10144,100-500 DM,4-7 years,2,female:divorced/separated/married,none,4,real estate,21,none,own,1,skilled employee,1,yes,Yes,Low
No checking account,12,critical account,radio/television,1240,no savings,>7 years,4,female:divorced/separated/married,none,2,real estate,38,none,own,2,skilled employee,1,yes,Yes,Low
No checking account,27,historical delay in payment,used car,8613,>1000 DM,1-4 years,2,male:single,none,2,car or other,27,none,own,2,skilled employee,1,None,Yes,Low
0-200 DM,12,existing credits paid,radio/television,766,500-1000 DM,1-4 years,4,male:single,none,3,real estate,66,none,own,1,unskilled/resident,1,None,Yes,High
0-200 DM,15,critical account,radio/television,2728,no savings,4-7 years,4,male:single,guarantor,2,real estate,35,bank,own,3,skilled employee,1,yes,Yes,Low
>200 DM,12,existing credits paid,radio/television,1881,< 100 DM,1-4 years,2,female:divorced/separated/married,none,2,car or other,44,none,rent,1,unskilled/resident,1,yes,Yes,Low
>200 DM,6,existing credits paid,new car,709,>1000 DM,<1 year,2,male:married,none,2,real estate,27,none,own,1,Unemployed,1,None,No,Low
0-200 DM,36,existing credits paid,radio/television,4795,< 100 DM,<1 year,4,female:divorced/separated/married,none,1,unknown/no property,30,none,own,1,management/self employed,1,yes,Yes,Low
0 DM,27,existing credits paid,radio/television,3416,< 100 DM,1-4 years,3,male:single,none,2,car or other,27,none,own,1,management/self employed,1,None,Yes,Low
0 DM,18,existing credits paid,furniture/equipment,2462,< 100 DM,1-4 years,2,male:single,none,2,car or other,22,none,own,1,skilled employee,1,None,Yes,High
No checking account,21,critical account,furniture/equipment,2288,< 100 DM,<1 year,4,female:divorced/separated/married,none,4,building society savings agreement/ life insurance,23,none,own,1,skilled employee,1,yes,Yes,Low
0-200 DM,48,all credits at this bank paid back,business,3566,100-500 DM,4-7 years,4,male:single,none,2,car or other,30,none,own,1,skilled employee,1,None,Yes,Low
0 DM,6,critical account,new car,860,< 100 DM,>7 years,1,female:divorced/separated/married,none,4,unknown/no property,39,none,own,2,skilled employee,1,yes,Yes,Low
No checking account,12,critical account,new car,682,100-500 DM,4-7 years,4,female:divorced/separated/married,none,3,car or other,51,none,own,2,skilled employee,1,yes,Yes,Low
0 DM,36,critical account,furniture/equipment,5371,< 100 DM,1-4 years,3,male:single,guarantor,2,building society savings agreement/ life insurance,28,none,own,2,skilled employee,1,None,Yes,Low
No checking account,18,critical account,radio/television,1582,>1000 DM,>7 years,4,male:single,none,4,car or other,46,none,own,2,skilled employee,1,None,Yes,Low
No checking account,6,existing credits paid,radio/television,1346,100-500 DM,>7 years,2,male:single,none,4,unknown/no property,42,bank,free,1,skilled employee,2,yes,Yes,Low
No checking account,10,existing credits paid,radio/television,1924,< 100 DM,1-4 years,1,male:single,none,4,building society savings agreement/ life insurance,38,none,own,1,skilled employee,1,yes,No,Low
>200 DM,36,existing credits paid,radio/television,5848,< 100 DM,1-4 years,4,male:single,none,1,car or other,24,none,own,1,skilled employee,1,None,Yes,Low
0-200 DM,24,critical account,used car,7758,>1000 DM,>7 years,2,female:divorced/separated/married,none,4,unknown/no property,29,none,rent,1,skilled employee,1,None,Yes,Low
0-200 DM,24,historical delay in payment,business,6967,100-500 DM,4-7 years,4,male:single,none,4,car or other,36,none,rent,1,management/self employed,1,yes,Yes,Low
0 DM,12,existing credits paid,furniture/equipment,1282,< 100 DM,1-4 years,2,female:divorced/separated/married,none,4,car or other,20,none,rent,1,skilled employee,1,None,Yes,High
0 DM,9,critical account,repairs,1288,100-500 DM,>7 years,3,male:single,guarantor,4,real estate,48,none,own,2,skilled employee,2,None,No,Low
0 DM,12,all credits at this bank paid back,retaining,339,< 100 DM,>7 years,4,male:married,none,1,car or other,45,bank,own,1,unskilled/resident,1,None,Yes,Low
0-200 DM,24,existing credits paid,new car,3512,100-500 DM,4-7 years,2,male:single,none,3,car or other,38,bank,own,2,skilled employee,1,yes,Yes,Low
No checking account,6,critical account,radio/television,1898,no savings,1-4 years,1,male:single,none,2,real estate,34,none,own,2,unskilled/resident,2,None,Yes,Low
No checking account,24,critical account,radio/television,2872,100-500 DM,>7 years,3,male:single,none,4,real estate,36,none,own,1,skilled employee,2,yes,Yes,Low
No checking account,18,critical account,new car,1055,< 100 DM,<1 year,4,female:divorced/separated/married,none,1,building society savings agreement/ life insurance,30,none,own,2,skilled employee,1,None,Yes,Low
No checking account,15,existing credits paid,domestic appliances,1262,500-1000 DM,4-7 years,4,male:single,none,3,building society savings agreement/ life insurance,36,none,own,2,skilled employee,1,yes,Yes,Low
0-200 DM,10,existing credits paid,new car,7308,< 100 DM,unemployed,2,male:single,none,4,unknown/no property,70,bank,free,1,management/self employed,1,yes,Yes,Low
No checking account,36,existing credits paid,new car,909,500-1000 DM,>7 years,4,male:single,none,4,building society savings agreement/ life insurance,36,none,own,1,skilled employee,1,None,Yes,Low
No checking account,6,existing credits paid,furniture/equipment,2978,500-1000 DM,1-4 years,1,male:single,none,2,car or other,32,none,own,1,skilled employee,1,yes,Yes,Low
0 DM,18,existing credits paid,furniture/equipment,1131,< 100 DM,unemployed,4,female:divorced/separated/married,none,2,car or other,33,none,own,1,skilled employee,1,None,Yes,High
0-200 DM,11,existing credits paid,furniture/equipment,1577,>1000 DM,<1 year,4,female:divorced/separated/married,none,1,real estate,20,none,own,1,skilled employee,1,None,Yes,Low
No checking account,24,existing credits paid,furniture/equipment,3972,< 100 DM,4-7 years,2,female:divorced/separated/married,none,4,building society savings agreement/ life insurance,25,none,rent,1,skilled employee,1,yes,Yes,Low
0-200 DM,24,critical account,business,1935,< 100 DM,>7 years,4,male:divorced/separated,none,4,real estate,31,none,own,2,skilled employee,1,yes,Yes,High
0 DM,15,none/all paid back,new car,950,< 100 DM,>7 years,4,male:single,none,3,car or other,33,none,rent,2,skilled employee,2,None,Yes,High
No checking account,12,existing credits paid,furniture/equipment,763,< 100 DM,1-4 years,4,female:divorced/separated/married,none,1,real estate,26,none,own,1,skilled employee,1,yes,Yes,Low
0-200 DM,24,historical delay in payment,furniture/equipment,2064,< 100 DM,unemployed,3,female:divorced/separated/married,none,2,building society savings agreement/ life insurance,34,none,own,1,management/self employed,1,yes,Yes,High
0-200 DM,8,existing credits paid,radio/television,1414,< 100 DM,1-4 years,4,male:single,guarantor,2,real estate,33,none,own,1,skilled employee,1,None,No,Low
